Assemblies	penguin	rnaspades	err_rate
HIV1.cut.id_AB221126.1	3517.14	719.01	0.001
HIV1.cut.id_AB231893.1	2114.56	-	0.001
HIV1.cut.id_AB231894.1	929.85	5896.17	0.001
HIV1.cut.id_AB231895.1	128.10	1505.30	0.001
HIV1.cut.id_AB231896.1	239.39	6959.30	0.001
HIV1.cut.id_AB231897.1	5156.22	4590.82	0.001
HIV1.cut.id_AB231898.1	638.27	1691.50	0.001
HIV1.cut.id_AB253421.1	418.08	1475.69	0.001
HIV1.cut.id_AB253422.1	463.14	3230.93	0.001
HIV1.cut.id_AB253423.1	507.27	-	0.001
HIV1.cut.id_AB253424.1	5783.40	3259.81	0.001
HIV1.cut.id_AB253425.1	3169.75	-	0.001
HIV1.cut.id_AB253426.1	1048.15	282.01	0.001
HIV1.cut.id_AB253427.1	258.24	4626.33	0.001
HIV1.cut.id_AB253428.1	4628.01	2290.95	0.001
HIV1.cut.id_AB253429.1	4298.37	7671.23	0.001
HIV1.cut.id_AB253430.1	1774.22	1484.87	0.001
HIV1.cut.id_AB253431.1	574.92	-	0.001
HIV1.cut.id_AB253432.1	3170.23	-	0.001
HIV1.cut.id_AB253635.1	-	-	0.001
HIV1.cut.id_AB253636.1	3322.53	-	0.001
HIV1.cut.id_AB253637.1	-	1640.03	0.001
HIV1.cut.id_AB253638.1	1060.19	-	0.001
HIV1.cut.id_AB253639.1	993.38	469.92	0.001
HIV1.cut.id_AB253640.1	2866.78	3664.92	0.001
HIV1.cut.id_AB253641.1	0.00	-	0.001
HIV1.cut.id_AB253642.1	516.96	1124.93	0.001
HIV1.cut.id_AB253643.1	653.85	-	0.001
HIV1.cut.id_AB253644.1	917.20	-	0.001
HIV1.cut.id_AB253645.1	1624.13	2431.61	0.001
HIV1.cut.id_AB253646.1	445.77	-	0.001
HIV1.cut.id_AB253647.1	-	997.73	0.001
HIV1.cut.id_AB253648.1	1029.08	-	0.001
HIV1.cut.id_AB253649.1	2517.42	2421.56	0.001
HIV1.cut.id_AB253650.1	-	-	0.001
HIV1.cut.id_AB253651.1	-	-	0.001
HIV1.cut.id_AB253652.1	763.36	1456.73	0.001
HIV1.cut.id_AB253653.1	1268.99	0.00	0.001
HIV1.cut.id_AB253654.1	811.69	-	0.001
HIV1.cut.id_AB253655.1	4109.59	-	0.001
HIV1.cut.id_AB253656.1	499.00	3101.15	0.001
HIV1.cut.id_AB253657.1	-	1539.37	0.001
HIV1.cut.id_AB253658.1	-	2740.64	0.001
HIV1.cut.id_AB253659.1	669.22	-	0.001
HIV1.cut.id_AB253660.1	3090.87	-	0.001
HIV1.cut.id_AB253661.1	-	-	0.001
HIV1.cut.id_AB253662.1	-	3158.58	0.001
HIV1.cut.id_AB253663.1	4235.12	1409.21	0.001
HIV1.cut.id_AB253664.1	1362.56	1968.23	0.001
HIV1.cut.id_AB253665.1	671.14	3043.11	0.001
HIV1.cut.id_AB253666.1	-	592.72	0.001
HIV1.cut.id_AB253667.1	1086.46	6480.56	0.001
HIV1.cut.id_AB253668.1	1588.66	-	0.001
HIV1.cut.id_AB253669.1	1688.58	-	0.001
HIV1.cut.id_AB253670.1	2411.28	-	0.001
HIV1.cut.id_AB253671.1	2338.33	-	0.001
HIV1.cut.id_AB253672.1	3107.11	-	0.001
HIV1.cut.id_AB253673.1	1936.53	2222.22	0.001
HIV1.cut.id_AB253674.1	2181.75	1574.80	0.001
HIV1.cut.id_AB253675.1	3658.54	-	0.001
HIV1.cut.id_AB253676.1	-	665.40	0.001
HIV1.cut.id_AB253677.1	-	1310.04	0.001
HIV1.cut.id_AB253678.1	-	-	0.001
HIV1.cut.id_AB253679.1	393.70	444.84	0.001
HIV1.cut.id_AB253680.1	-	-	0.001
HIV1.cut.id_AB253681.1	5110.18	3487.33	0.001
HIV1.cut.id_AB253682.1	1220.30	3726.20	0.001
HIV1.cut.id_AB253683.1	-	457.08	0.001
HIV1.cut.id_AB253684.1	-	3937.82	0.001
HIV1.cut.id_AB253685.1	1500.94	-	0.001
HIV1.cut.id_AB253686.1	1678.06	-	0.001
HIV1.cut.id_AB253687.1	1553.93	1340.69	0.001
HIV1.cut.id_AB253688.1	4194.78	6086.96	0.001
HIV1.cut.id_AB253689.1	296.44	1592.92	0.001
HIV1.cut.id_AB253690.1	1033.11	-	0.001
HIV1.cut.id_AB253691.1	2909.19	-	0.001
HIV1.cut.id_AB253692.1	2419.22	2695.60	0.001
HIV1.cut.id_AB253693.1	284.36	-	0.001
HIV1.cut.id_AB253694.1	1143.92	422.83	0.001
HIV1.cut.id_AB253695.1	2037.67	-	0.001
HIV1.cut.id_AB253696.1	973.85	-	0.001
HIV1.cut.id_AB253697.1	2752.42	-	0.001
HIV1.cut.id_AB253698.1	2519.04	-	0.001
HIV1.cut.id_AB253699.1	1270.77	-	0.001
HIV1.cut.id_AB253700.1	631.20	1998.26	0.001
HIV1.cut.id_AB253701.1	3988.28	2435.19	0.001
HIV1.cut.id_AB253702.1	4442.92	1126.97	0.001
HIV1.cut.id_AB253703.1	1314.14	-	0.001
HIV1.cut.id_AB253704.1	1166.00	-	0.001
HIV1.cut.id_AB253705.1	2249.74	-	0.001
HIV1.cut.id_AB253706.1	1364.41	-	0.001
HIV1.cut.id_AB253707.1	787.92	-	0.001
HIV1.cut.id_AB253708.1	3230.61	-	0.001
HIV1.cut.id_AB253709.1	2278.95	-	0.001
HIV1.cut.id_AB253710.1	1694.20	-	0.001
HIV1.cut.id_AB253711.1	-	-	0.001
HIV1.cut.id_AB253712.1	1806.42	-	0.001
HIV1.cut.id_AB253713.1	552.92	-	0.001
HIV1.cut.id_AB253714.1	533.74	1970.44	0.001
HIV1.cut.id_AB253715.1	-	-	0.001
HIV1.cut.id_AB253716.1	2387.86	-	0.001
HIV1.cut.id_AB253717.1	1337.64	-	0.001
HIV1.cut.id_AB253718.1	-	1559.93	0.001
HIV1.cut.id_AB253719.1	1112.10	-	0.001
HIV1.cut.id_AB253720.1	-	-	0.001
HIV1.cut.id_AB253721.1	-	4379.56	0.001
HIV1.cut.id_AB253722.1	5178.28	-	0.001
HIV1.cut.id_AB253723.1	917.78	-	0.001
HIV1.cut.id_AB253724.1	1225.02	-	0.001
HIV1.cut.id_AB253725.1	-	-	0.001
HIV1.cut.id_AB254141.1	1198.04	3024.97	0.001
HIV1.cut.id_AB254142.1	1810.89	3629.20	0.001
HIV1.cut.id_AB254143.1	3221.99	4949.15	0.001
HIV1.cut.id_AB254144.1	1023.10	-	0.001
HIV1.cut.id_AB254145.1	1299.56	-	0.001
HIV1.cut.id_AB254146.1	2103.77	1115.45	0.001
HIV1.cut.id_AB254147.1	1474.12	-	0.001
HIV1.cut.id_AB254148.1	714.29	-	0.001
HIV1.cut.id_AB254149.1	826.16	2355.19	0.001
HIV1.cut.id_AB254150.1	3289.47	2681.20	0.001
HIV1.cut.id_AB254151.1	1633.91	1967.62	0.001
HIV1.cut.id_AB254152.1	1265.13	-	0.001
HIV1.cut.id_AB254153.2	2675.23	-	0.001
HIV1.cut.id_AB254154.1	2220.17	1168.14	0.001
HIV1.cut.id_AB254155.1	981.10	-	0.001
HIV1.cut.id_AB254156.1	1730.94	2629.54	0.001
HIV1.cut.id_AB286849.1	1232.54	1237.79	0.001
HIV1.cut.id_AB286850.1	186.22	208.33	0.001
HIV1.cut.id_AB286851.1	297.73	495.20	0.001
HIV1.cut.id_AB286852.1	78.68	2115.53	0.001
HIV1.cut.id_AB286853.1	584.11	1701.93	0.001
HIV1.cut.id_AB286854.1	2347.78	5858.92	0.001
HIV1.cut.id_AB286855.1	467.57	1982.76	0.001
HIV1.cut.id_AB286856.1	273.13	2406.20	0.001
HIV1.cut.id_AB286857.1	265.19	368.66	0.001
HIV1.cut.id_AB286858.1	1129.25	4739.01	0.001
HIV1.cut.id_AB286859.1	522.68	4204.20	0.001
HIV1.cut.id_AB286860.1	812.38	2343.61	0.001
HIV1.cut.id_AB286861.1	723.71	587.54	0.001
HIV1.cut.id_AB286862.1	621.19	901.73	0.001
HIV1.cut.id_AB286863.1	2061.71	2037.74	0.001
HIV1.cut.id_AB286864.1	2417.96	3009.17	0.001
HIV1.cut.id_AB286955.1	2601.40	1034.48	0.001
HIV1.cut.id_AB286956.1	4812.54	5993.69	0.001
HIV1.cut.id_AB287003.1	5505.09	2742.75	0.001
HIV1.cut.id_AB287004.1	361.99	77.43	0.001
HIV1.cut.id_AB287363.1	6349.21	4224.35	0.001
HIV1.cut.id_AB287364.1	666.59	3589.05	0.001
HIV1.cut.id_AB287365.1	922.67	3043.23	0.001
HIV1.cut.id_AB287366.1	457.81	1104.97	0.001
HIV1.cut.id_AB287367.1	331.63	942.78	0.001
HIV1.cut.id_AB287368.1	590.82	1668.32	0.001
HIV1.cut.id_AB287369.1	1126.29	4630.15	0.001
HIV1.cut.id_AB287370.1	441.85	2188.24	0.001
HIV1.cut.id_AB287371.1	2080.62	-	0.001
HIV1.cut.id_AB287372.1	2464.29	3641.46	0.001
HIV1.cut.id_AB287376.1	1275.30	3587.30	0.001
HIV1.cut.id_AB287377.1	152.75	4474.55	0.001
HIV1.cut.id_AB287378.1	1929.53	1566.82	0.001
HIV1.cut.id_AB287379.1	163.67	2988.05	0.001
HIV1.cut.id_AB289587.1	118.69	2653.06	0.001
HIV1.cut.id_AB289588.1	3107.77	1330.66	0.001
HIV1.cut.id_AB289589.1	1442.46	-	0.001
HIV1.cut.id_AB289590.1	1882.20	2224.08	0.001
HIV1.cut.id_AB428551.1	2929.13	3212.17	0.001
HIV1.cut.id_AB428552.1	2526.91	-	0.001
HIV1.cut.id_AB428553.1	193.27	-	0.001
HIV1.cut.id_AB428554.1	3027.87	4094.67	0.001
HIV1.cut.id_AB428555.1	1904.13	-	0.001
HIV1.cut.id_AB428556.1	2048.05	-	0.001
HIV1.cut.id_AB428557.1	96.25	3260.87	0.001
HIV1.cut.id_AB428558.1	1927.49	4322.48	0.001
HIV1.cut.id_AB428559.1	885.31	4310.63	0.001
HIV1.cut.id_AB428560.1	999.00	2988.64	0.001
HIV1.cut.id_AB428561.1	968.25	-	0.001
HIV1.cut.id_AB428562.1	2622.56	-	0.001
HIV1.cut.id_AB480044.1	2187.23	421.21	0.001
HIV1.cut.id_AB480045.1	-	0.00	0.001
HIV1.cut.id_AB480046.1	2203.20	-	0.001
HIV1.cut.id_AB480047.1	-	7081.08	0.001
HIV1.cut.id_AB480048.1	105.26	7308.03	0.001
HIV1.cut.id_AB480298.1	1892.81	2157.23	0.001
HIV1.cut.id_AB480299.1	3428.72	2667.74	0.001
HIV1.cut.id_AB480300.1	1047.52	2930.32	0.001
HIV1.cut.id_AB480301.1	955.41	72.41	0.001
HIV1.cut.id_AB480692.1	1087.20	5903.81	0.001
HIV1.cut.id_AB480693.1	748.44	963.60	0.001
HIV1.cut.id_AB480694.1	4317.93	2924.35	0.001
HIV1.cut.id_AB480695.1	763.79	1410.26	0.001
HIV1.cut.id_AB480696.1	1142.70	1032.83	0.001
HIV1.cut.id_AB480697.1	527.07	561.48	0.001
HIV1.cut.id_AB480698.1	1136.86	2343.32	0.001
HIV1.cut.id_AB485632.1	604.11	6167.53	0.001
HIV1.cut.id_AB485633.1	80.49	2468.67	0.001
HIV1.cut.id_AB485634.1	1511.34	11099.61	0.001
HIV1.cut.id_AB485635.1	1966.03	2822.66	0.001
HIV1.cut.id_AB485636.1	187.10	-	0.001
HIV1.cut.id_AB485637.1	4308.25	918.76	0.001
HIV1.cut.id_AB485638.1	2738.63	1105.38	0.001
HIV1.cut.id_AB485639.1	4071.30	658.98	0.001
HIV1.cut.id_AB485640.1	3754.27	2306.43	0.001
HIV1.cut.id_AB485641.1	3198.10	1204.82	0.001
HIV1.cut.id_AB485642.1	996.05	-	0.001
HIV1.cut.id_AB485643.1	2202.55	1943.28	0.001
HIV1.cut.id_AB485644.1	2158.27	843.88	0.001
HIV1.cut.id_AB485645.1	1726.19	3231.34	0.001
HIV1.cut.id_AB485646.1	295.12	4427.48	0.001
HIV1.cut.id_AB485647.1	2507.44	3072.49	0.001
HIV1.cut.id_AB485648.1	3932.33	774.49	0.001
HIV1.cut.id_AB485649.1	507.73	5358.09	0.001
HIV1.cut.id_AB485650.1	1146.55	4123.31	0.001
HIV1.cut.id_AB485651.1	2905.04	2000.00	0.001
HIV1.cut.id_AB485652.1	3129.55	4774.29	0.001
HIV1.cut.id_AB485653.1	914.95	4094.83	0.001
HIV1.cut.id_AB485654.1	3839.73	6005.09	0.001
HIV1.cut.id_AB485655.1	2665.63	6596.31	0.001
HIV1.cut.id_AB485656.1	3988.50	-	0.001
HIV1.cut.id_AB485657.1	2229.60	1997.82	0.001
HIV1.cut.id_AB485658.1	1441.52	1541.60	0.001
HIV1.cut.id_AB485659.1	3481.89	69.74	0.001
HIV1.cut.id_AB485660.1	214.98	2330.85	0.001
HIV1.cut.id_AB485661.1	113.16	3401.94	0.001
HIV1.cut.id_AB485662.1	1698.65	5885.85	0.001
HIV1.cut.id_AB485663.1	270.03	3367.00	0.001
HIV1.cut.id_AB485664.1	-	846.66	0.001
HIV1.cut.id_AB485665.1	109.55	2633.11	0.001
HIV1.cut.id_AB485666.1	3379.18	1309.57	0.001
HIV1.cut.id_AB485667.1	4763.97	2852.35	0.001
HIV1.cut.id_AB485668.1	13775.67	2287.89	0.001
HIV1.cut.id_AB485669.1	17034.09	2330.51	0.001
HIV1.cut.id_AB547463.1	1861.89	3642.71	0.001
HIV1.cut.id_AB547464.1	1905.30	3041.41	0.001
HIV1.cut.id_AB564744.1	2259.41	4423.92	0.001
HIV1.cut.id_AB564745.1	2236.22	4806.07	0.001
HIV1.cut.id_AB564746.1	1529.87	2896.87	0.001
HIV1.cut.id_AB565478.1	2329.28	2195.79	0.001
HIV1.cut.id_AB565479.1	6356.67	3956.64	0.001
HIV1.cut.id_AB565495.1	2332.75	1597.26	0.001
HIV1.cut.id_AB565496.1	2107.50	-	0.001
HIV1.cut.id_AB565497.1	2689.72	3069.47	0.001
HIV1.cut.id_AB565498.1	2003.08	3182.13	0.001
HIV1.cut.id_AB565499.1	125.68	1985.02	0.001
HIV1.cut.id_AB565500.1	1166.12	173.31	0.001
HIV1.cut.id_AB565501.1	209.46	2412.28	0.001
HIV1.cut.id_AB565502.1	2291.67	1830.59	0.001
HIV1.cut.id_AB565503.1	224.33	5502.93	0.001
HIV1.cut.id_AB565504.1	1555.97	3502.28	0.001
HIV1.cut.id_AB604946.1	811.49	6957.03	0.001
HIV1.cut.id_AB604947.1	1459.67	1294.96	0.001
HIV1.cut.id_AB604948.1	98.03	878.97	0.001
HIV1.cut.id_AB604949.1	1281.12	-	0.001
HIV1.cut.id_AB604950.1	1194.00	1074.81	0.001
HIV1.cut.id_AB604951.1	-	696.20	0.001
HIV1.cut.id_AB641836.2	444.44	314.54	0.001
HIV1.cut.id_AB641837.2	-	1030.93	0.001
HIV1.cut.id_AB646289.1	2100.46	4181.52	0.001
HIV1.cut.id_AB646691.1	2920.49	1834.86	0.001
HIV1.cut.id_AB731663.1	635.20	5934.43	0.001
HIV1.cut.id_AB731664.1	-	3339.88	0.001
HIV1.cut.id_AB731665.1	1656.15	4206.82	0.001
HIV1.cut.id_AB731666.1	1623.62	2650.90	0.001
HIV1.cut.id_AB731667.1	787.75	1665.38	0.001
HIV1.cut.id_AB731668.1	2583.90	1150.31	0.001
HIV1.cut.id_AB731669.1	2246.47	1341.28	0.001
HIV1.cut.id_AB731670.1	1353.27	5070.84	0.001
HIV1.cut.id_AB746342.2	2396.45	-	0.001
HIV1.cut.id_AB746343.2	3268.59	-	0.001
HIV1.cut.id_AB746344.2	410.71	4594.18	0.001
HIV1.cut.id_AB746345.2	1598.52	4166.67	0.001
HIV1.cut.id_AB845344.1	3397.29	4447.63	0.001
HIV1.cut.id_AB845345.1	3302.57	-	0.001
HIV1.cut.id_AB845346.1	1541.76	5924.60	0.001
HIV1.cut.id_AB845347.1	4660.54	4956.52	0.001
HIV1.cut.id_AB845348.1	2009.44	1720.49	0.001
HIV1.cut.id_AB845349.1	523.38	409.84	0.001
HIV1.cut.id_AB859012.1	1500.50	3448.28	0.001
HIV1.cut.id_AF003887.1	446.43	6498.55	0.001
HIV1.cut.id_AF003888.1	1577.38	2565.41	0.001
HIV1.cut.id_AF004394.1	115.61	2986.39	0.001
HIV1.cut.id_AF004885.1	890.06	2871.87	0.001
HIV1.cut.id_AF005494.1	1360.39	2395.62	0.001
HIV1.cut.id_AF005495.1	2106.26	2423.82	0.001
HIV1.cut.id_AF005496.1	1005.25	1642.98	0.001
HIV1.cut.id_AF033819.3	3283.37	4748.93	0.001
HIV1.cut.id_AF042100.1	1448.51	8165.83	0.001
HIV1.cut.id_AF042101.1	1757.69	7095.24	0.001
HIV1.cut.id_AF042102.1	1886.57	4419.89	0.001
HIV1.cut.id_AF042103.1	329.11	2304.39	0.001
HIV1.cut.id_AF042104.1	1064.93	6187.21	0.001
HIV1.cut.id_AF042105.1	5859.96	3979.98	0.001
HIV1.cut.id_AF042106.1	4937.71	4782.61	0.001
HIV1.cut.id_AF049337.1	3524.86	3135.89	0.001
HIV1.cut.id_AF049494.1	665.38	-	0.001
HIV1.cut.id_AF049495.1	444.71	2212.39	0.001
HIV1.cut.id_AF061640.1	5144.29	-	0.001
HIV1.cut.id_AF061641.1	3304.96	4965.75	0.001
HIV1.cut.id_AF061642.1	734.38	3048.78	0.001
HIV1.cut.id_AF063223.1	3459.31	-	0.001
HIV1.cut.id_AF063224.1	793.56	2813.76	0.001
HIV1.cut.id_AF064699.1	1809.23	2246.35	0.001
HIV1.cut.id_AF067154.1	1940.13	3517.59	0.001
HIV1.cut.id_AF067155.1	969.63	1118.36	0.001
HIV1.cut.id_AF067156.1	722.25	-	0.001
HIV1.cut.id_AF067157.1	3625.85	8173.42	0.001
HIV1.cut.id_AF067158.1	4603.41	3026.63	0.001
HIV1.cut.id_AF067159.1	422.83	-	0.001
HIV1.cut.id_AF069140.1	1359.57	4926.11	0.001
HIV1.cut.id_AF069671.1	118.15	3674.16	0.001
HIV1.cut.id_AF070521.1	633.80	4715.13	0.001
HIV1.cut.id_AF075701.1	56.31	3110.94	0.001
HIV1.cut.id_AF075702.1	1110.45	3124.38	0.001
HIV1.cut.id_AF075703.1	232.80	3085.97	0.001
HIV1.cut.id_AF075719.1	1593.73	-	0.001
HIV1.cut.id_AF076474.1	470.38	720.86	0.001
HIV1.cut.id_AF076475.1	2657.33	457.36	0.001
HIV1.cut.id_AF076998.1	367.07	2456.82	0.001
HIV1.cut.id_AF077336.1	415.59	4564.41	0.001
HIV1.cut.id_AF082394.1	1699.84	1322.41	0.001
HIV1.cut.id_AF082395.1	4046.81	2000.82	0.001
HIV1.cut.id_AF084936.1	663.52	4451.45	0.001
HIV1.cut.id_AF086817.1	114.37	119.12	0.001
HIV1.cut.id_AF107770.1	2614.38	2927.76	0.001
HIV1.cut.id_AF107771.1	507.87	2585.01	0.001
HIV1.cut.id_AF110959.1	824.82	12495.61	0.001
HIV1.cut.id_AF110960.1	867.74	1336.73	0.001
HIV1.cut.id_AF110961.1	1333.48	6407.59	0.001
HIV1.cut.id_AF110962.1	2357.07	5455.90	0.001
HIV1.cut.id_AF110963.1	2869.99	2320.19	0.001
HIV1.cut.id_AF110964.1	2364.44	8874.91	0.001
HIV1.cut.id_AF110965.1	2875.54	-	0.001
HIV1.cut.id_AF110966.1	1167.64	-	0.001
HIV1.cut.id_AF110967.1	1799.91	-	0.001
HIV1.cut.id_AF110968.1	1331.85	1245.14	0.001
HIV1.cut.id_AF110969.1	1401.52	4489.80	0.001
HIV1.cut.id_AF110970.1	2517.66	5456.37	0.001
HIV1.cut.id_AF110971.1	848.16	-	0.001
HIV1.cut.id_AF110972.1	371.99	2368.76	0.001
HIV1.cut.id_AF110973.1	1163.53	4425.75	0.001
HIV1.cut.id_AF110974.1	3862.38	5908.16	0.001
HIV1.cut.id_AF110975.1	2119.87	4938.27	0.001
HIV1.cut.id_AF110976.1	1396.18	3713.25	0.001
HIV1.cut.id_AF110977.1	5473.19	7325.45	0.001
HIV1.cut.id_AF110978.1	1612.52	9845.56	0.001
HIV1.cut.id_AF110979.1	1422.17	-	0.001
HIV1.cut.id_AF110980.1	1901.14	3189.16	0.001
HIV1.cut.id_AF110981.1	4801.01	6329.11	0.001
HIV1.cut.id_AF119819.1	1175.31	1923.94	0.001
HIV1.cut.id_AF119820.1	173.72	969.70	0.001
HIV1.cut.id_AF164485.1	3494.67	2200.94	0.001
HIV1.cut.id_AF179368.1	67.15	1214.19	0.001
HIV1.cut.id_AF184155.1	610.48	4737.23	0.001
HIV1.cut.id_AF190127.1	1402.39	2021.71	0.001
HIV1.cut.id_AF192135.1	76.90	3262.01	0.001
HIV1.cut.id_AF193253.1	1642.62	5392.57	0.001
HIV1.cut.id_AF193275.1	3509.72	4133.33	0.001
HIV1.cut.id_AF193276.1	2338.86	6323.91	0.001
HIV1.cut.id_AF193277.1	5516.27	4392.30	0.001
HIV1.cut.id_AF197338.1	3435.70	5785.12	0.001
HIV1.cut.id_AF197339.1	2077.40	-	0.001
HIV1.cut.id_AF197340.1	3646.26	3404.86	0.001
HIV1.cut.id_AF197341.1	645.72	3009.43	0.001
HIV1.cut.id_AF224507.1	593.92	-	0.001
HIV1.cut.id_AF256205.1	1325.57	-	0.001
HIV1.cut.id_AF256206.1	3643.95	-	0.001
HIV1.cut.id_AF256207.1	1748.25	4954.58	0.001
HIV1.cut.id_AF256211.1	2570.54	2263.74	0.001
HIV1.cut.id_AF259954.1	3483.80	2580.01	0.001
HIV1.cut.id_AF259955.1	4419.06	3188.25	0.001
HIV1.cut.id_AF286223.1	3837.60	223.96	0.001
HIV1.cut.id_AF286224.1	1228.90	3278.03	0.001
HIV1.cut.id_AF286225.1	1248.33	4921.26	0.001
HIV1.cut.id_AF286226.1	676.82	3087.04	0.001
HIV1.cut.id_AF286227.1	851.60	5017.01	0.001
HIV1.cut.id_AF286228.1	780.49	2450.57	0.001
HIV1.cut.id_AF286229.1	3918.44	-	0.001
HIV1.cut.id_AF286230.1	5924.74	1305.48	0.001
HIV1.cut.id_AF286231.1	290.47	5535.06	0.001
HIV1.cut.id_AF286232.1	5816.44	2999.21	0.001
HIV1.cut.id_AF286233.1	579.71	3162.06	0.001
HIV1.cut.id_AF286234.1	625.00	0.00	0.001
HIV1.cut.id_AF286235.1	3241.16	1310.34	0.001
HIV1.cut.id_AF286236.1	364.24	974.84	0.001
HIV1.cut.id_AF286237.1	232.88	318.24	0.001
HIV1.cut.id_AF286238.1	958.54	1016.26	0.001
HIV1.cut.id_AF286239.1	375.11	1162.79	0.001
HIV1.cut.id_AF286365.1	520.22	3664.63	0.001
HIV1.cut.id_AF289548.1	100.27	1563.02	0.001
HIV1.cut.id_AF289549.1	3435.66	1940.49	0.001
HIV1.cut.id_AF289550.1	2235.32	4398.73	0.001
HIV1.cut.id_AF290027.1	1699.60	4516.13	0.001
HIV1.cut.id_AF290028.1	5991.85	4204.40	0.001
HIV1.cut.id_AF290029.1	2103.76	2799.06	0.001
HIV1.cut.id_AF290030.1	647.87	2678.81	0.001
HIV1.cut.id_AF316544.1	634.41	514.05	0.001
HIV1.cut.id_AF321523.1	1365.79	1450.28	0.001
HIV1.cut.id_AF332867.1	2630.95	3465.35	0.001
HIV1.cut.id_AF361873.1	111.68	3610.44	0.001
HIV1.cut.id_AF377958.1	802.96	3157.08	0.001
HIV1.cut.id_AF385934.1	2263.57	4518.66	0.001
HIV1.cut.id_AF385935.1	4338.54	3618.33	0.001
HIV1.cut.id_AF385936.1	1135.95	284.09	0.001
HIV1.cut.id_AF407418.1	8862.41	1591.28	0.001
HIV1.cut.id_AF407419.1	2372.95	0.00	0.001
HIV1.cut.id_AF408626.1	1003.22	3525.42	0.001
HIV1.cut.id_AF408627.1	2605.39	2289.38	0.001
HIV1.cut.id_AF408628.1	1235.25	6118.69	0.001
HIV1.cut.id_AF408629.1	1117.45	802.45	0.001
HIV1.cut.id_AF408630.1	1416.43	3514.48	0.001
HIV1.cut.id_AF408631.1	5002.23	3076.92	0.001
HIV1.cut.id_AF408632.1	2272.99	1885.18	0.001
HIV1.cut.id_AF411964.1	3110.97	1244.81	0.001
HIV1.cut.id_AF411965.1	1601.30	3130.21	0.001
HIV1.cut.id_AF411966.1	2234.49	2477.00	0.001
HIV1.cut.id_AF411967.1	1004.02	3588.68	0.001
HIV1.cut.id_AF413987.1	3671.94	4097.83	0.001
HIV1.cut.id_AF414006.1	4375.48	-	0.001
HIV1.cut.id_AF423755.1	325.59	3655.66	0.001
HIV1.cut.id_AF423756.1	1328.15	1103.27	0.001
HIV1.cut.id_AF423757.1	2696.70	3191.49	0.001
HIV1.cut.id_AF423758.1	2478.38	6477.95	0.001
HIV1.cut.id_AF423759.1	863.76	2470.27	0.001
HIV1.cut.id_AF423760.1	774.38	8744.33	0.001
HIV1.cut.id_AF443074.1	3529.93	3863.79	0.001
HIV1.cut.id_AF443075.1	244.66	3084.42	0.001
HIV1.cut.id_AF443076.1	2703.72	5826.97	0.001
HIV1.cut.id_AF443077.1	1645.01	3891.66	0.001
HIV1.cut.id_AF443078.1	355.45	2868.25	0.001
HIV1.cut.id_AF443079.1	2346.08	1486.62	0.001
HIV1.cut.id_AF443080.1	1201.12	1283.70	0.001
HIV1.cut.id_AF443081.1	336.00	1365.19	0.001
HIV1.cut.id_AF443082.1	106.22	589.10	0.001
HIV1.cut.id_AF443083.1	772.91	1684.45	0.001
HIV1.cut.id_AF443084.1	207.04	647.67	0.001
HIV1.cut.id_AF443085.1	234.95	2630.22	0.001
