Assemblies	penguin	rnaspades	err_rate
HIV1.cut.id_AB253723.1	57.378	-	0.001
HIV1.cut.id_AB253724.1	17.016	-	0.001
HIV1.cut.id_AB253725.1	-	-	0.001
HIV1.cut.id_AB254141.1	75.724	31.074	0.001
HIV1.cut.id_AB254142.1	100.000	52.288	0.001
HIV1.cut.id_AB254143.1	46.436	16.227	0.001
HIV1.cut.id_AB254144.1	100.000	-	0.001
HIV1.cut.id_AB254145.1	99.890	-	0.001
HIV1.cut.id_AB254146.1	100.000	19.544	0.001
HIV1.cut.id_AB254147.1	63.676	-	0.001
HIV1.cut.id_AB254148.1	89.408	-	0.001
HIV1.cut.id_AB254149.1	93.596	34.219	0.001
HIV1.cut.id_AB254150.1	3.344	74.675	0.001
HIV1.cut.id_AB254151.1	99.879	44.272	0.001
HIV1.cut.id_AB254152.1	20.000	-	0.001
HIV1.cut.id_AB254153.2	20.561	-	0.001
HIV1.cut.id_AB254154.1	11.892	62.156	0.001
HIV1.cut.id_AB254155.1	45.782	-	0.001
HIV1.cut.id_AB254156.1	100.000	42.496	0.001
HIV1.cut.id_AB286849.1	13.331	50.444	0.001
HIV1.cut.id_AB286850.1	100.000	5.258	0.001
HIV1.cut.id_AB286851.1	90.965	35.002	0.001
HIV1.cut.id_AB286852.1	68.844	72.202	0.001
HIV1.cut.id_AB286853.1	46.889	47.634	0.001
HIV1.cut.id_AB286854.1	100.000	66.100	0.001
HIV1.cut.id_AB286855.1	53.742	38.020	0.001
HIV1.cut.id_AB286856.1	100.000	26.789	0.001
HIV1.cut.id_AB286857.1	90.726	35.597	0.001
HIV1.cut.id_AB286858.1	80.398	31.853	0.001
HIV1.cut.id_AB286859.1	52.439	14.604	0.001
HIV1.cut.id_AB286860.1	100.000	60.896	0.001
HIV1.cut.id_AB286861.1	68.890	18.857	0.001
HIV1.cut.id_AB286862.1	89.453	47.124	0.001
HIV1.cut.id_AB286863.1	79.200	29.041	0.001
HIV1.cut.id_AB286864.1	82.951	30.031	0.001
HIV1.cut.id_AB286955.1	39.191	15.896	0.001
HIV1.cut.id_AB286956.1	100.000	20.851	0.001
HIV1.cut.id_AB287003.1	100.000	69.432	0.001
HIV1.cut.id_AB287004.1	36.210	28.214	0.001
HIV1.cut.id_AB287363.1	96.009	30.885	0.001
HIV1.cut.id_AB287364.1	100.000	64.244	0.001
HIV1.cut.id_AB287365.1	49.776	38.447	0.001
HIV1.cut.id_AB287366.1	71.798	17.848	0.001
HIV1.cut.id_AB287367.1	42.949	33.702	0.001
HIV1.cut.id_AB287368.1	94.525	55.136	0.001
HIV1.cut.id_AB287369.1	59.043	19.307	0.001
HIV1.cut.id_AB287370.1	68.895	41.237	0.001
HIV1.cut.id_AB287371.1	25.155	-	0.001
HIV1.cut.id_AB287372.1	100.000	62.283	0.001
HIV1.cut.id_AB287376.1	79.353	34.650	0.001
HIV1.cut.id_AB287377.1	43.208	26.796	0.001
HIV1.cut.id_AB287378.1	65.581	23.878	0.001
HIV1.cut.id_AB287379.1	47.021	11.038	0.001
HIV1.cut.id_AB289587.1	37.049	10.774	0.001
HIV1.cut.id_AB289588.1	65.776	60.292	0.001
HIV1.cut.id_AB289589.1	69.766	-	0.001
HIV1.cut.id_AB289590.1	98.786	39.342	0.001
HIV1.cut.id_AB428551.1	92.855	13.634	0.001
HIV1.cut.id_AB428552.1	24.594	-	0.001
HIV1.cut.id_AB428553.1	29.630	-	0.001
HIV1.cut.id_AB428554.1	100.000	30.531	0.001
HIV1.cut.id_AB428555.1	68.635	-	0.001
HIV1.cut.id_AB428556.1	58.214	-	0.001
HIV1.cut.id_AB428557.1	11.956	4.235	0.001
HIV1.cut.id_AB428558.1	75.129	57.166	0.001
HIV1.cut.id_AB428559.1	85.680	34.927	0.001
HIV1.cut.id_AB428560.1	34.513	19.228	0.001
HIV1.cut.id_AB428561.1	72.581	-	0.001
HIV1.cut.id_AB428562.1	97.321	-	0.001
HIV1.cut.id_AB480044.1	100.000	44.138	0.001
HIV1.cut.id_AB480045.1	-	7.174	0.001
HIV1.cut.id_AB480046.1	69.004	-	0.001
HIV1.cut.id_AB480047.1	-	40.548	0.001
HIV1.cut.id_AB480048.1	93.699	50.236	0.001
HIV1.cut.id_AB480298.1	100.000	53.054	0.001
HIV1.cut.id_AB480299.1	87.272	27.217	0.001
HIV1.cut.id_AB480300.1	100.000	50.799	0.001
HIV1.cut.id_AB480301.1	24.252	15.238	0.001
HIV1.cut.id_AB480692.1	100.000	33.110	0.001
HIV1.cut.id_AB480693.1	26.414	20.516	0.001
HIV1.cut.id_AB480694.1	98.054	34.778	0.001
HIV1.cut.id_AB480695.1	97.997	25.757	0.001
HIV1.cut.id_AB480696.1	80.745	29.778	0.001
HIV1.cut.id_AB480697.1	77.117	19.565	0.001
HIV1.cut.id_AB480698.1	100.000	40.118	0.001
HIV1.cut.id_AB485632.1	85.655	38.379	0.001
HIV1.cut.id_AB485633.1	95.719	57.957	0.001
HIV1.cut.id_AB485634.1	13.043	52.886	0.001
HIV1.cut.id_AB485635.1	69.953	56.519	0.001
HIV1.cut.id_AB485636.1	100.000	-	0.001
HIV1.cut.id_AB485637.1	18.138	22.760	0.001
HIV1.cut.id_AB485638.1	68.698	14.930	0.001
HIV1.cut.id_AB485639.1	99.956	13.352	0.001
HIV1.cut.id_AB485640.1	100.000	13.366	0.001
HIV1.cut.id_AB485641.1	60.145	0.912	0.001
HIV1.cut.id_AB485642.1	63.877	-	0.001
HIV1.cut.id_AB485643.1	100.000	21.074	0.001
HIV1.cut.id_AB485644.1	18.464	7.870	0.001
HIV1.cut.id_AB485645.1	18.449	38.403	0.001
HIV1.cut.id_AB485646.1	70.523	14.350	0.001
HIV1.cut.id_AB485647.1	25.775	22.817	0.001
HIV1.cut.id_AB485648.1	48.140	48.316	0.001
HIV1.cut.id_AB485649.1	99.901	41.570	0.001
HIV1.cut.id_AB485650.1	74.423	55.716	0.001
HIV1.cut.id_AB485651.1	75.733	14.777	0.001
HIV1.cut.id_AB485652.1	15.097	59.147	0.001
HIV1.cut.id_AB485653.1	73.256	5.098	0.001
HIV1.cut.id_AB485654.1	92.489	21.672	0.001
HIV1.cut.id_AB485655.1	85.176	12.532	0.001
HIV1.cut.id_AB485656.1	61.503	-	0.001
HIV1.cut.id_AB485657.1	46.586	30.420	0.001
HIV1.cut.id_AB485658.1	100.000	58.797	0.001
HIV1.cut.id_AB485659.1	15.682	15.660	0.001
HIV1.cut.id_AB485660.1	30.516	33.774	0.001
HIV1.cut.id_AB485661.1	96.621	76.492	0.001
HIV1.cut.id_AB485662.1	69.822	55.414	0.001
HIV1.cut.id_AB485663.1	12.201	35.877	0.001
HIV1.cut.id_AB485664.1	-	23.327	0.001
HIV1.cut.id_AB485665.1	99.956	56.559	0.001
HIV1.cut.id_AB485666.1	100.000	89.321	0.001
HIV1.cut.id_AB485667.1	100.000	58.077	0.001
HIV1.cut.id_AB485668.1	100.000	45.123	0.001
HIV1.cut.id_AB485669.1	100.000	86.289	0.001
HIV1.cut.id_AB547463.1	80.539	22.426	0.001
HIV1.cut.id_AB547464.1	80.592	30.812	0.001
HIV1.cut.id_AB564744.1	78.618	22.555	0.001
HIV1.cut.id_AB564745.1	34.730	25.946	0.001
HIV1.cut.id_AB564746.1	90.139	18.890	0.001
HIV1.cut.id_AB565478.1	75.731	23.951	0.001
HIV1.cut.id_AB565479.1	88.614	20.219	0.001
HIV1.cut.id_AB565495.1	100.000	38.578	0.001
HIV1.cut.id_AB565496.1	77.786	-	0.001
HIV1.cut.id_AB565497.1	45.310	6.736	0.001
HIV1.cut.id_AB565498.1	91.806	32.144	0.001
HIV1.cut.id_AB565499.1	26.260	29.373	0.001
HIV1.cut.id_AB565500.1	100.000	31.738	0.001
HIV1.cut.id_AB565501.1	100.000	35.189	0.001
HIV1.cut.id_AB565502.1	15.875	35.531	0.001
HIV1.cut.id_AB565503.1	63.772	24.397	0.001
HIV1.cut.id_AB565504.1	76.375	38.644	0.001
HIV1.cut.id_AB604946.1	100.000	37.515	0.001
HIV1.cut.id_AB604947.1	44.325	7.621	0.001
HIV1.cut.id_AB604948.1	76.950	15.938	0.001
HIV1.cut.id_AB604949.1	90.585	-	0.001
HIV1.cut.id_AB604950.1	100.000	25.479	0.001
HIV1.cut.id_AB604951.1	-	17.307	0.001
HIV1.cut.id_AB641836.2	98.728	45.338	0.001
HIV1.cut.id_AB641837.2	-	11.706	0.001
HIV1.cut.id_AB646289.1	60.099	33.864	0.001
HIV1.cut.id_AB646691.1	92.076	19.142	0.001
HIV1.cut.id_AB731663.1	99.989	33.399	0.001
HIV1.cut.id_AB731664.1	-	50.175	0.001
HIV1.cut.id_AB731665.1	41.451	46.366	0.001
HIV1.cut.id_AB731666.1	100.000	26.719	0.001
HIV1.cut.id_AB731667.1	100.000	28.249	0.001
HIV1.cut.id_AB731668.1	69.465	42.815	0.001
HIV1.cut.id_AB731669.1	51.004	29.289	0.001
HIV1.cut.id_AB731670.1	100.000	14.635	0.001
HIV1.cut.id_AB746342.2	79.945	-	0.001
HIV1.cut.id_AB746343.2	82.313	-	0.001
HIV1.cut.id_AB746344.2	66.890	14.352	0.001
HIV1.cut.id_AB746345.2	35.794	5.546	0.001
HIV1.cut.id_AB845344.1	34.992	7.672	0.001
HIV1.cut.id_AB845345.1	67.560	-	0.001
HIV1.cut.id_AB845346.1	25.555	36.577	0.001
HIV1.cut.id_AB845347.1	97.851	12.607	0.001
HIV1.cut.id_AB845348.1	87.555	44.610	0.001
HIV1.cut.id_AB845349.1	62.672	32.014	0.001
HIV1.cut.id_AB859012.1	65.760	6.995	0.001
HIV1.cut.id_AF003887.1	29.522	11.323	0.001
HIV1.cut.id_AF003888.1	77.287	43.240	0.001
HIV1.cut.id_AF004394.1	28.595	25.091	0.001
HIV1.cut.id_AF004885.1	87.978	44.932	0.001
HIV1.cut.id_AF005494.1	100.000	16.291	0.001
HIV1.cut.id_AF005495.1	71.052	16.127	0.001
HIV1.cut.id_AF005496.1	100.000	75.461	0.001
HIV1.cut.id_AF033819.3	46.263	28.277	0.001
HIV1.cut.id_AF042100.1	61.977	43.573	0.001
HIV1.cut.id_AF042101.1	52.493	23.067	0.001
HIV1.cut.id_AF042102.1	99.930	16.956	0.001
HIV1.cut.id_AF042103.1	90.711	21.426	0.001
HIV1.cut.id_AF042104.1	100.000	50.155	0.001
HIV1.cut.id_AF042105.1	100.000	48.402	0.001
HIV1.cut.id_AF042106.1	100.000	2.629	0.001
HIV1.cut.id_AF049337.1	100.000	69.768	0.001
HIV1.cut.id_AF049494.1	51.220	-	0.001
HIV1.cut.id_AF049495.1	74.140	27.322	0.001
HIV1.cut.id_AF061640.1	70.469	-	0.001
HIV1.cut.id_AF061641.1	100.000	6.455	0.001
HIV1.cut.id_AF061642.1	97.542	32.533	0.001
HIV1.cut.id_AF063223.1	90.236	-	0.001
HIV1.cut.id_AF063224.1	95.625	24.986	0.001
HIV1.cut.id_AF064699.1	95.652	29.255	0.001
HIV1.cut.id_AF067154.1	59.689	17.558	0.001
HIV1.cut.id_AF067155.1	77.905	23.839	0.001
HIV1.cut.id_AF067156.1	70.916	-	0.001
HIV1.cut.id_AF067157.1	100.000	15.649	0.001
HIV1.cut.id_AF067158.1	67.467	18.456	0.001
HIV1.cut.id_AF067159.1	58.102	-	0.001
HIV1.cut.id_AF069140.1	92.427	4.475	0.001
HIV1.cut.id_AF069671.1	76.431	46.698	0.001
HIV1.cut.id_AF070521.1	15.665	5.615	0.001
HIV1.cut.id_AF075701.1	100.000	60.097	0.001
HIV1.cut.id_AF075702.1	94.528	56.114	0.001
HIV1.cut.id_AF075703.1	96.290	15.254	0.001
HIV1.cut.id_AF075719.1	86.448	-	0.001
HIV1.cut.id_AF076474.1	100.000	45.055	0.001
HIV1.cut.id_AF076475.1	100.000	82.655	0.001
HIV1.cut.id_AF076998.1	100.000	45.729	0.001
HIV1.cut.id_AF077336.1	100.000	51.185	0.001
HIV1.cut.id_AF082394.1	100.000	60.042	0.001
HIV1.cut.id_AF082395.1	79.223	54.714	0.001
HIV1.cut.id_AF084936.1	97.876	62.807	0.001
HIV1.cut.id_AF086817.1	57.909	18.534	0.001
HIV1.cut.id_AF107770.1	72.592	29.019	0.001
HIV1.cut.id_AF107771.1	89.541	55.779	0.001
HIV1.cut.id_AF110959.1	28.295	31.663	0.001
HIV1.cut.id_AF110960.1	37.137	17.457	0.001
HIV1.cut.id_AF110961.1	99.989	37.456	0.001
HIV1.cut.id_AF110962.1	88.308	14.814	0.001
HIV1.cut.id_AF110963.1	83.955	14.357	0.001
HIV1.cut.id_AF110964.1	62.251	15.837	0.001
HIV1.cut.id_AF110965.1	100.000	-	0.001
HIV1.cut.id_AF110966.1	92.424	-	0.001
HIV1.cut.id_AF110967.1	100.000	-	0.001
HIV1.cut.id_AF110968.1	59.695	28.379	0.001
HIV1.cut.id_AF110969.1	89.019	13.769	0.001
HIV1.cut.id_AF110970.1	61.978	44.645	0.001
HIV1.cut.id_AF110971.1	80.736	-	0.001
HIV1.cut.id_AF110972.1	87.487	17.529	0.001
HIV1.cut.id_AF110973.1	69.618	30.337	0.001
HIV1.cut.id_AF110974.1	100.000	37.947	0.001
HIV1.cut.id_AF110975.1	100.000	0.899	0.001
HIV1.cut.id_AF110976.1	80.548	21.590	0.001
HIV1.cut.id_AF110977.1	99.978	29.210	0.001
HIV1.cut.id_AF110978.1	94.098	11.559	0.001
HIV1.cut.id_AF110979.1	100.000	-	0.001
HIV1.cut.id_AF110980.1	26.503	56.175	0.001
HIV1.cut.id_AF110981.1	53.180	15.039	0.001
HIV1.cut.id_AF119819.1	99.476	72.694	0.001
HIV1.cut.id_AF119820.1	100.000	44.788	0.001
HIV1.cut.id_AF164485.1	58.776	53.899	0.001
HIV1.cut.id_AF179368.1	100.000	58.993	0.001
HIV1.cut.id_AF184155.1	86.361	30.968	0.001
HIV1.cut.id_AF190127.1	100.000	88.483	0.001
HIV1.cut.id_AF192135.1	100.000	62.639	0.001
HIV1.cut.id_AF193253.1	99.196	64.923	0.001
HIV1.cut.id_AF193275.1	41.119	41.630	0.001
HIV1.cut.id_AF193276.1	83.492	22.082	0.001
HIV1.cut.id_AF193277.1	78.897	18.547	0.001
HIV1.cut.id_AF197338.1	57.291	14.636	0.001
HIV1.cut.id_AF197339.1	65.745	-	0.001
HIV1.cut.id_AF197340.1	94.778	38.343	0.001
HIV1.cut.id_AF197341.1	51.117	30.344	0.001
HIV1.cut.id_AF224507.1	79.238	-	0.001
HIV1.cut.id_AF256205.1	54.841	-	0.001
HIV1.cut.id_AF256206.1	100.000	-	0.001
HIV1.cut.id_AF256207.1	53.364	13.292	0.001
HIV1.cut.id_AF256211.1	92.125	30.653	0.001
HIV1.cut.id_AF259954.1	58.664	33.645	0.001
HIV1.cut.id_AF259955.1	73.102	39.633	0.001
HIV1.cut.id_AF286223.1	100.000	9.933	0.001
HIV1.cut.id_AF286224.1	89.422	27.428	0.001
HIV1.cut.id_AF286225.1	100.000	22.648	0.001
HIV1.cut.id_AF286226.1	52.662	22.009	0.001
HIV1.cut.id_AF286227.1	79.962	13.128	0.001
HIV1.cut.id_AF286228.1	68.212	39.829	0.001
HIV1.cut.id_AF286229.1	62.576	-	0.001
HIV1.cut.id_AF286230.1	83.471	12.798	0.001
HIV1.cut.id_AF286231.1	99.511	15.064	0.001
HIV1.cut.id_AF286232.1	83.447	28.209	0.001
HIV1.cut.id_AF286233.1	88.304	11.262	0.001
HIV1.cut.id_AF286234.1	99.181	13.084	0.001
HIV1.cut.id_AF286235.1	97.914	16.090	0.001
HIV1.cut.id_AF286236.1	100.000	70.199	0.001
HIV1.cut.id_AF286237.1	94.790	45.088	0.001
HIV1.cut.id_AF286238.1	100.000	38.386	0.001
HIV1.cut.id_AF286239.1	100.000	67.365	0.001
HIV1.cut.id_AF286365.1	65.606	19.828	0.001
HIV1.cut.id_AF289548.1	100.000	67.001	0.001
HIV1.cut.id_AF289549.1	100.000	8.567	0.001
HIV1.cut.id_AF289550.1	100.000	66.492	0.001
HIV1.cut.id_AF290027.1	55.416	1.698	0.001
HIV1.cut.id_AF290028.1	100.000	17.028	0.001
HIV1.cut.id_AF290029.1	100.000	37.383	0.001
HIV1.cut.id_AF290030.1	28.762	40.919	0.001
HIV1.cut.id_AF316544.1	90.908	32.998	0.001
HIV1.cut.id_AF321523.1	100.000	15.949	0.001
HIV1.cut.id_AF332867.1	46.173	11.154	0.001
HIV1.cut.id_AF361873.1	98.983	36.436	0.001
HIV1.cut.id_AF377958.1	91.707	44.137	0.001
HIV1.cut.id_AF385934.1	92.776	44.772	0.001
HIV1.cut.id_AF385935.1	82.246	37.626	0.001
HIV1.cut.id_AF385936.1	90.464	19.448	0.001
HIV1.cut.id_AF407418.1	100.000	86.468	0.001
HIV1.cut.id_AF407419.1	100.000	82.284	0.001
HIV1.cut.id_AF408626.1	90.344	16.504	0.001
HIV1.cut.id_AF408627.1	100.000	36.632	0.001
HIV1.cut.id_AF408628.1	81.199	30.235	0.001
HIV1.cut.id_AF408629.1	96.300	28.736	0.001
HIV1.cut.id_AF408630.1	85.444	67.620	0.001
HIV1.cut.id_AF408631.1	100.000	27.518	0.001
HIV1.cut.id_AF408632.1	95.968	25.713	0.001
HIV1.cut.id_AF411964.1	100.000	44.879	0.001
HIV1.cut.id_AF411965.1	94.787	59.382	0.001
HIV1.cut.id_AF411966.1	81.575	15.516	0.001
HIV1.cut.id_AF411967.1	65.483	15.878	0.001
HIV1.cut.id_AF413987.1	100.000	51.242	0.001
HIV1.cut.id_AF414006.1	57.377	-	0.001
HIV1.cut.id_AF423755.1	51.400	18.922	0.001
HIV1.cut.id_AF423756.1	88.707	25.186	0.001
HIV1.cut.id_AF423757.1	75.156	55.479	0.001
HIV1.cut.id_AF423758.1	67.211	41.073	0.001
HIV1.cut.id_AF423759.1	57.230	12.280	0.001
HIV1.cut.id_AF423760.1	63.486	36.927	0.001
HIV1.cut.id_AF443074.1	100.000	33.794	0.001
HIV1.cut.id_AF443075.1	98.726	47.343	0.001
HIV1.cut.id_AF443076.1	88.198	62.144	0.001
HIV1.cut.id_AF443077.1	66.957	35.378	0.001
HIV1.cut.id_AF443078.1	74.806	22.790	0.001
HIV1.cut.id_AF443079.1	92.173	44.303	0.001
HIV1.cut.id_AF443080.1	86.019	17.125	0.001
HIV1.cut.id_AF443081.1	94.992	16.124	0.001
HIV1.cut.id_AF443082.1	93.852	15.042	0.001
HIV1.cut.id_AF443083.1	90.577	19.791	0.001
HIV1.cut.id_AF443084.1	91.325	8.586	0.001
HIV1.cut.id_AF443085.1	75.224	42.837	0.001
HIV1.cut.id_AF443086.1	52.366	69.751	0.001
HIV1.cut.id_AF443087.1	100.000	58.757	0.001
HIV1.cut.id_AF443088.1	99.370	43.738	0.001
HIV1.cut.id_AF443089.1	88.611	-	0.001
HIV1.cut.id_AF443090.1	88.975	26.192	0.001
HIV1.cut.id_AF443091.1	98.668	24.785	0.001
HIV1.cut.id_AF443092.1	94.337	38.491	0.001
HIV1.cut.id_AF443093.1	80.224	37.665	0.001
HIV1.cut.id_AF443094.1	64.949	32.149	0.001
HIV1.cut.id_AF443095.1	78.871	32.966	0.001
HIV1.cut.id_AF443096.1	100.000	20.075	0.001
HIV1.cut.id_AF443097.1	85.194	16.053	0.001
HIV1.cut.id_AF443098.1	88.350	17.745	0.001
HIV1.cut.id_AF443099.1	93.726	13.044	0.001
HIV1.cut.id_AF443100.1	100.000	36.764	0.001
HIV1.cut.id_AF443101.1	97.026	34.498	0.001
HIV1.cut.id_AF443102.1	81.216	10.180	0.001
HIV1.cut.id_AF443103.1	83.541	11.046	0.001
HIV1.cut.id_AF443104.1	100.000	18.441	0.001
HIV1.cut.id_AF443105.1	100.000	55.603	0.001
HIV1.cut.id_AF443107.1	91.608	-	0.001
