Tool	Contig	Length
penguin	SRR5466365_117087	3122
penguin	SRR5466365_129797	4232
penguin	SRR5466365_130185	3787
penguin	SRR5466365_132646	3641
penguin	SRR5466365_133192	4137
penguin	SRR5466365_135746	4514
penguin	SRR5466365_139549	2391
penguin	SRR5466365_148425	2550
penguin	SRR5466365_158569	3866
penguin	SRR5466365_183159	2520
penguin	SRR5466365_186076	2341
penguin	SRR5466366_3172	4273
penguin	SRR5466366_10098	3590
penguin	SRR5466366_21996	3325
penguin	SRR5466366_25504	3777
penguin	SRR5466366_26413	4037
penguin	SRR5466366_35591	4143
penguin	SRR5466366_36057	5572
penguin	SRR5466366_40098	4051
penguin	SRR5466366_68712	3629
penguin	SRR5466366_72426	3629
penguin	SRR5466366_78452	3629
penguin	SRR5466366_81130	3097
penguin	SRR5466366_84118	3222
penguin	SRR5466366_87184	3576
penguin	SRR5466366_91449	3589
penguin	SRR5466366_92531	3854
penguin	SRR5466366_95078	3791
penguin	SRR5466366_103928	2733
penguin	SRR5466366_105269	3869
penguin	SRR5466366_111448	4853
penguin	SRR5466366_124449	3744
penguin	SRR5466366_181634	2883
penguin	SRR5466369_2367	2994
penguin	SRR5466369_8308	3725
penguin	SRR5466369_10266	3983
penguin	SRR5466369_18562	5367
penguin	SRR5466369_41440	11797
penguin	SRR5466369_46303	4491
penguin	SRR5466369_56017	4023
penguin	SRR5466369_67286	4503
penguin	SRR5466369_73051	5319
penguin	SRR5466369_85790	2069
penguin	SRR5466369_91538	2710
penguin	SRR5466369_98462	5392
penguin	SRR5466369_137592	4016
penguin	SRR5466369_147812	7995
penguin	SRR5466369_148118	3695
penguin	SRR5466369_149769	3265
penguin	SRR5466369_162986	3782
penguin	SRR5466369_171207	3970
penguin	SRR5466369_199727	6916
penguin	SRR5466369_203736	2068
penguin	SRR5466337_2150	6564
penguin	SRR5466337_7992	4286
penguin	SRR5466337_9426	4067
penguin	SRR5466337_16732	3870
penguin	SRR5466337_21846	6564
penguin	SRR5466337_23749	4986
penguin	SRR5466337_32218	6032
penguin	SRR5466337_36159	3947
penguin	SRR5466337_43202	3819
penguin	SRR5466337_49537	3579
penguin	SRR5466337_57370	3559
penguin	SRR5466337_79516	3337
penguin	SRR5466337_83468	6137
penguin	SRR5466337_95740	7049
penguin	SRR5466337_105191	4876
penguin	SRR5466337_107119	2790
penguin	SRR5466337_108430	3947
penguin	SRR5466337_111835	4346
penguin	SRR5466337_114034	2945
penguin	SRR5466337_117160	2502
penguin	SRR5466337_121073	2733
penguin	SRR5466337_122823	4090
penguin	SRR5466337_123908	2847
penguin	SRR5466337_133327	5150
penguin	SRR5466337_167768	2194
penguin	SRR5466723_1077	3749
penguin	SRR5466723_2413	5034
penguin	SRR5466723_3433	2920
penguin	SRR5466723_6047	4796
penguin	SRR5466723_7812	7303
penguin	SRR5466723_8628	3273
penguin	SRR5466723_9866	3710
penguin	SRR5466723_11500	4953
penguin	SRR5466723_14276	3720
penguin	SRR5466723_15886	4026
penguin	SRR5466723_16930	5102
penguin	SRR5466723_21874	3746
penguin	SRR5466723_24831	2961
penguin	SRR5466723_25521	3223
penguin	SRR5466723_25872	2292
penguin	SRR5466723_26353	8238
penguin	SRR5466723_26707	3877
penguin	SRR5466723_27158	2756
penguin	SRR5466723_29391	3745
penguin	SRR5466723_29860	3720
penguin	SRR5466723_31239	3875
penguin	SRR5466723_31775	3679
penguin	SRR5466723_32119	5807
penguin	SRR5466723_32223	2791
penguin	SRR5466723_37558	3875
penguin	SRR5466723_39135	5440
penguin	SRR5466723_39318	3745
penguin	SRR5466723_40837	4771
penguin	SRR5466723_41505	3454
penguin	SRR5466723_41656	3667
penguin	SRR5466723_42631	2718
penguin	SRR5466723_43176	6675
penguin	SRR5466723_43377	4535
penguin	SRR5466723_43851	3907
penguin	SRR5466723_45018	3748
penguin	SRR5466723_46498	3666
penguin	SRR5466723_46502	4446
penguin	SRR5466723_47654	3253
penguin	SRR5466723_49036	2588
penguin	SRR5466723_51793	5438
penguin	SRR5466723_59591	3689
penguin	SRR5466723_60319	3679
penguin	SRR5466725_105	6324
penguin	SRR5466725_1335	4359
penguin	SRR5466725_1417	3765
penguin	SRR5466725_3188	4309
penguin	SRR5466725_4271	4166
penguin	SRR5466725_4802	3892
penguin	SRR5466725_5051	10960
penguin	SRR5466725_6847	3065
penguin	SRR5466725_7655	4188
penguin	SRR5466725_14089	4051
penguin	SRR5466725_18267	3970
penguin	SRR5466725_19726	3703
penguin	SRR5466725_20473	4095
penguin	SRR5466725_23051	3577
penguin	SRR5466725_23549	4195
penguin	SRR5466725_24086	3364
penguin	SRR5466725_24718	3509
penguin	SRR5466725_26461	4095
penguin	SRR5466725_28116	3345
penguin	SRR5466725_31718	3976
penguin	SRR5466725_32596	3445
penguin	SRR5466725_36196	4235
penguin	SRR5466725_39677	3569
penguin	SRR5466725_42954	3744
penguin	SRR5466725_47077	3697
penguin	SRR5466725_48135	3093
penguin	SRR5466725_48438	3886
penguin	SRR5466725_49535	3260
penguin	SRR5466725_56646	3604
penguin	SRR5466725_58599	2332
penguin	SRR5466725_61062	4095
penguin	SRR5466725_66963	4188
penguin	SRR5466725_67635	3871
penguin	SRR5466725_67705	4119
penguin	SRR5466725_75207	3885
penguin	SRR5466725_75721	3719
penguin	SRR5466725_80559	3727
penguin	SRR5466725_89215	3415
penguin	SRR5466725_89475	3871
penguin	SRR5466725_94327	3659
penguin	SRR5466725_94466	3718
penguin	SRR5466725_95969	6641
penguin	SRR5466725_99877	3892
penguin	SRR5466725_107764	3231
penguin	SRR5466725_111130	3438
penguin	SRR5466725_112680	3786
penguin	SRR5466725_114522	3886
penguin	SRR5466725_123464	3594
penguin	SRR5466725_131019	3312
penguin	SRR5466725_137718	4311
penguin	SRR5466725_138005	4061
penguin	SRR5466725_140203	3886
penguin	SRR5466725_147634	3745
penguin	SRR5466725_153581	3544
penguin	SRR5466727_2843	3441
penguin	SRR5466727_4042	4753
penguin	SRR5466727_4732	3808
penguin	SRR5466727_9585	3445
penguin	SRR5466727_9885	3855
penguin	SRR5466727_12031	3932
penguin	SRR5466727_12079	3984
penguin	SRR5466727_12691	3843
penguin	SRR5466727_13751	3824
penguin	SRR5466727_19060	3708
penguin	SRR5466727_19423	3742
penguin	SRR5466727_21258	3707
penguin	SRR5466727_21367	3843
penguin	SRR5466727_22427	3725
penguin	SRR5466727_23064	4355
penguin	SRR5466727_23590	3445
penguin	SRR5466727_24510	3315
penguin	SRR5466727_25224	4112
penguin	SRR5466727_29990	4318
penguin	SRR5466727_33477	4454
penguin	SRR5466727_39132	3984
penguin	SRR5466727_45288	3853
penguin	SRR5466727_45289	3854
penguin	SRR5466727_46246	4878
penguin	SRR5466727_46344	3845
penguin	SRR5466727_46407	3742
penguin	SRR5466727_50254	2795
penguin	SRR5466727_55596	3725
penguin	SRR5466727_57086	3744
penguin	SRR5466727_57360	3445
penguin	SRR5466727_62690	3719
penguin	SRR5466727_68295	4335
penguin	SRR5466727_68326	3708
penguin	SRR5466727_71778	4335
penguin	SRR5466727_72183	4247
penguin	SRR5466727_72853	3735
penguin	SRR5466727_74443	3936
penguin	SRR5466727_79545	3853
penguin	SRR5466727_80409	3936
penguin	SRR5466727_83698	2885
penguin	SRR5466727_86921	3975
penguin	SRR5466727_94589	2749
penguin	SRR5466727_98171	3743
penguin	SRR5466727_99084	3569
penguin	SRR5466727_100527	3487
penguin	SRR5466728_2050	3700
penguin	SRR5466728_4496	3253
penguin	SRR5466728_7804	4094
penguin	SRR5466728_9361	3863
penguin	SRR5466728_11029	4555
penguin	SRR5466728_20087	4268
penguin	SRR5466728_22510	3253
penguin	SRR5466728_22587	4199
penguin	SRR5466728_23744	3741
penguin	SRR5466728_30309	3798
penguin	SRR5466728_38240	3787
penguin	SRR5466728_39888	2194
penguin	SRR5466728_42828	3835
penguin	SRR5466728_44039	4575
penguin	SRR5466728_59426	3449
penguin	SRR5466728_61981	3329
penguin	SRR5466728_68514	2550
penguin	SRR5466728_75158	4210
penguin	SRR5466728_75241	3803
penguin	SRR5466728_83220	2108
penguin	SRR5466728_91734	3621
penguin	SRR5466728_95019	3215
penguin	SRR5466729_569	3728
penguin	SRR5466729_2100	3582
penguin	SRR5466729_2431	4166
penguin	SRR5466729_4779	4037
penguin	SRR5466729_5567	7027
penguin	SRR5466729_13280	3826
penguin	SRR5466729_14545	3949
penguin	SRR5466729_14793	3460
penguin	SRR5466729_18172	4007
penguin	SRR5466729_19155	8105
penguin	SRR5466729_19452	3985
penguin	SRR5466729_21895	4671
penguin	SRR5466729_22790	11760
penguin	SRR5466729_22922	4007
penguin	SRR5466729_23964	5739
penguin	SRR5466729_24757	3933
penguin	SRR5466729_24766	3663
penguin	SRR5466729_24838	6119
penguin	SRR5466729_29088	3884
penguin	SRR5466729_30316	3456
penguin	SRR5466729_33963	4415
penguin	SRR5466729_34920	5689
penguin	SRR5466729_37359	4053
penguin	SRR5466729_40494	4909
penguin	SRR5466729_42421	4085
penguin	SRR5466729_50451	7066
penguin	SRR5466729_52625	4203
penguin	SRR5466729_55242	4036
penguin	SRR5466729_60275	5274
penguin	SRR5466729_61399	4355
penguin	SRR5466729_69910	2850
penguin	SRR5466729_70320	2738
penguin	SRR5466729_77998	3791
penguin	SRR5466729_78426	3752
penguin	SRR5466729_79390	3728
penguin	SRR5466729_81846	5127
penguin	SRR5466729_82300	3854
penguin	SRR5466729_82370	9221
penguin	SRR5466729_86292	4084
penguin	SRR5466729_88505	5203
penguin	SRR5466729_88654	4955
penguin	SRR5466729_97289	2725
penguin	SRR5466729_97682	4007
penguin	SRR5466729_97911	2812
penguin	SRR5466729_99405	3904
penguin	SRR5466729_102048	3791
penguin	SRR5466729_103941	3718
penguin	SRR5466729_107208	2787
penguin	SRR5466729_121629	5244
penguin	SRR5467090_369	3503
penguin	SRR5467090_879	3731
penguin	SRR5467090_1471	3824
